UID,Row_ID,Data citation,Full citation,Region,Region Label,URL,Tephra,Volcanic Zone,Volcanic source,Site,Depth,Sample_ID,Point_ID,UMAP_VARG25_2D_1,UMAP_VARG25_2D_2
1,1,Derkachev et al. (2016),"Derkachev, A.N., Nikolaeva, N.A., Gorbarenko, S.A., Portnyagin, M.V., et al. (2016). Tephra layers in the quaternary deposits of the Sea of Okhotsk. Quat. Int. 425, 248–272. DOI: 10.1016/j.quaint.2016.07.004","Sea of Oshkosh; Kamchatka, Kurile and Japanese Islands",Kamchatka,https://doi.org/10.1016/j.quaint.2016.07.004,KO,,Kurile Lake caldera,,350,Lv29-110,,1.146792412,-0.087472878
2,2,Derkachev et al. (2016),"Derkachev, A.N., Nikolaeva, N.A., Gorbarenko, S.A., Portnyagin, M.V., et al. (2016). Tephra layers in the quaternary deposits of the Sea of Okhotsk. Quat. Int. 425, 248–272. DOI: 10.1016/j.quaint.2016.07.004","Sea of Oshkosh; Kamchatka, Kurile and Japanese Islands",Kamchatka,https://doi.org/10.1016/j.quaint.2016.07.004,KO,,Kurile Lake caldera,,350,Lv29-110,,1.479468703,0.594370902
3,3,Derkachev et al. (2016),"Derkachev, A.N., Nikolaeva, N.A., Gorbarenko, S.A., Portnyagin, M.V., et al. (2016). Tephra layers in the quaternary deposits of the Sea of Okhotsk. Quat. Int. 425, 248–272. DOI: 10.1016/j.quaint.2016.07.004","Sea of Oshkosh; Kamchatka, Kurile and Japanese Islands",Kamchatka,https://doi.org/10.1016/j.quaint.2016.07.004,KO,,Kurile Lake caldera,,350,Lv29-110,,1.551318645,0.479140788
4,4,Derkachev et al. (2016),"Derkachev, A.N., Nikolaeva, N.A., Gorbarenko, S.A., Portnyagin, M.V., et al. (2016). Tephra layers in the quaternary deposits of the Sea of Okhotsk. Quat. Int. 425, 248–272. DOI: 10.1016/j.quaint.2016.07.004","Sea of Oshkosh; Kamchatka, Kurile and Japanese Islands",Kamchatka,https://doi.org/10.1016/j.quaint.2016.07.004,KO,,Kurile Lake caldera,,350,Lv29-110,,1.359701037,0.259933442
5,5,Derkachev et al. (2016),"Derkachev, A.N., Nikolaeva, N.A., Gorbarenko, S.A., Portnyagin, M.V., et al. (2016). Tephra layers in the quaternary deposits of the Sea of Okhotsk. Quat. Int. 425, 248–272. DOI: 10.1016/j.quaint.2016.07.004","Sea of Oshkosh; Kamchatka, Kurile and Japanese Islands",Kamchatka,https://doi.org/10.1016/j.quaint.2016.07.004,KO,,Kurile Lake caldera,,350,Lv29-110,,1.252862096,0.111584432
6,6,Derkachev et al. (2016),"Derkachev, A.N., Nikolaeva, N.A., Gorbarenko, S.A., Portnyagin, M.V., et al. (2016). Tephra layers in the quaternary deposits of the Sea of Okhotsk. Quat. Int. 425, 248–272. DOI: 10.1016/j.quaint.2016.07.004","Sea of Oshkosh; Kamchatka, Kurile and Japanese Islands",Kamchatka,https://doi.org/10.1016/j.quaint.2016.07.004,,,Kurile Lake caldera,,350,Lv29-110,,-3.436586618,-3.985701561
7,7,Derkachev et al. (2016),"Derkachev, A.N., Nikolaeva, N.A., Gorbarenko, S.A., Portnyagin, M.V., et al. (2016). Tephra layers in the quaternary deposits of the Sea of Okhotsk. Quat. Int. 425, 248–272. DOI: 10.1016/j.quaint.2016.07.004","Sea of Oshkosh; Kamchatka, Kurile and Japanese Islands",Kamchatka,https://doi.org/10.1016/j.quaint.2016.07.004,KO,,Kurile Lake caldera,,350,Lv29-110,,1.631714463,0.454467803
8,8,Derkachev et al. (2016),"Derkachev, A.N., Nikolaeva, N.A., Gorbarenko, S.A., Portnyagin, M.V., et al. (2016). Tephra layers in the quaternary deposits of the Sea of Okhotsk. Quat. Int. 425, 248–272. DOI: 10.1016/j.quaint.2016.07.004","Sea of Oshkosh; Kamchatka, Kurile and Japanese Islands",Kamchatka,https://doi.org/10.1016/j.quaint.2016.07.004,KO,,Kurile Lake caldera,,350,Lv29-110,,1.458642483,0.269096226
9,9,Derkachev et al. (2016),"Derkachev, A.N., Nikolaeva, N.A., Gorbarenko, S.A., Portnyagin, M.V., et al. (2016). Tephra layers in the quaternary deposits of the Sea of Okhotsk. Quat. Int. 425, 248–272. DOI: 10.1016/j.quaint.2016.07.004","Sea of Oshkosh; Kamchatka, Kurile and Japanese Islands",Kamchatka,https://doi.org/10.1016/j.quaint.2016.07.004,KO,,Kurile Lake caldera,,350,Lv29-110,,0.96860826,-0.373493016
10,10,Derkachev et al. (2016),"Derkachev, A.N., Nikolaeva, N.A., Gorbarenko, S.A., Portnyagin, M.V., et al. (2016). Tephra layers in the quaternary deposits of the Sea of Okhotsk. Quat. Int. 425, 248–272. DOI: 10.1016/j.quaint.2016.07.004","Sea of Oshkosh; Kamchatka, Kurile and Japanese Islands",Kamchatka,https://doi.org/10.1016/j.quaint.2016.07.004,,,Kurile Lake caldera,,350,Lv29-110,,1.200768471,0.095794208
11,11,Derkachev et al. (2016),"Derkachev, A.N., Nikolaeva, N.A., Gorbarenko, S.A., Portnyagin, M.V., et al. (2016). Tephra layers in the quaternary deposits of the Sea of Okhotsk. Quat. Int. 425, 248–272. DOI: 10.1016/j.quaint.2016.07.004","Sea of Oshkosh; Kamchatka, Kurile and Japanese Islands",Kamchatka,https://doi.org/10.1016/j.quaint.2016.07.004,,,Kurile Lake caldera,,350,Lv29-110,,1.64363277,0.441999584
12,12,Derkachev et al. (2016),"Derkachev, A.N., Nikolaeva, N.A., Gorbarenko, S.A., Portnyagin, M.V., et al. (2016). Tephra layers in the quaternary deposits of the Sea of Okhotsk. Quat. Int. 425, 248–272. DOI: 10.1016/j.quaint.2016.07.004","Sea of Oshkosh; Kamchatka, Kurile and Japanese Islands",Kamchatka,https://doi.org/10.1016/j.quaint.2016.07.004,KO,,Kurile Lake caldera,,350,Lv29-110,,1.434018373,0.352331907
13,13,Derkachev et al. (2016),"Derkachev, A.N., Nikolaeva, N.A., Gorbarenko, S.A., Portnyagin, M.V., et al. (2016). Tephra layers in the quaternary deposits of the Sea of Okhotsk. Quat. Int. 425, 248–272. DOI: 10.1016/j.quaint.2016.07.004","Sea of Oshkosh; Kamchatka, Kurile and Japanese Islands",Kamchatka,https://doi.org/10.1016/j.quaint.2016.07.004,KO,,Kurile Lake caldera,,350,Lv29-110,,1.639555216,0.44109714
14,14,Derkachev et al. (2016),"Derkachev, A.N., Nikolaeva, N.A., Gorbarenko, S.A., Portnyagin, M.V., et al. (2016). Tephra layers in the quaternary deposits of the Sea of Okhotsk. Quat. Int. 425, 248–272. DOI: 10.1016/j.quaint.2016.07.004","Sea of Oshkosh; Kamchatka, Kurile and Japanese Islands",Kamchatka,https://doi.org/10.1016/j.quaint.2016.07.004,KO,,Kurile Lake caldera,,350,Lv29-110,,1.389869094,0.339484394
15,15,Derkachev et al. (2016),"Derkachev, A.N., Nikolaeva, N.A., Gorbarenko, S.A., Portnyagin, M.V., et al. (2016). Tephra layers in the quaternary deposits of the Sea of Okhotsk. Quat. Int. 425, 248–272. DOI: 10.1016/j.quaint.2016.07.004","Sea of Oshkosh; Kamchatka, Kurile and Japanese Islands",Kamchatka,https://doi.org/10.1016/j.quaint.2016.07.004,KO,,Kurile Lake caldera,,350,Lv29-110,,1.303828478,0.194736585
